industry,percent,count
Accounting,0.20920502092050208,478
Administration of Justice,20.0,10
Advertising Services,4.651162790697675,1333
Airlines and Aviation,2.7450980392156863,255
Alternative Dispute Resolution,100.0,1
Alternative Medicine,0.0,48
Animation and Post-production,0.0,3
"Appliances, Electrical, and Electronics Manufacturing",3.255813953488372,645
Architecture and Planning,1.1299435028248588,177
Armed Forces,2.34375,128
Artists and Writers,11.11111111111111,9
Automation Machinery Manufacturing,5.723905723905724,297
Aviation and Aerospace Component Manufacturing,2.8169014084507045,568
Banking,0.7047768206734534,1277
Beverage Manufacturing,0.0,117
Biotechnology Research,4.224058769513315,1089
Book and Periodical Publishing,1.5086206896551724,464
Broadcast Media Production and Distribution,1.7751479289940828,169
Business Consulting and Services,5.4088050314465415,1590
Chemical Manufacturing,1.0294117647058822,680
Civic and Social Organizations,1.9047619047619049,105
Civil Engineering,0.2557544757033248,782
Computer Games,11.627906976744185,86
Computer Hardware Manufacturing,25.0,56
Computer Networking Products,11.11111111111111,9
Computer and Network Security,14.426229508196723,305
Computers and Electronics Manufacturing,9.420289855072465,138
Construction,0.4570848146267141,1969
Consumer Services,0.5405405405405406,370
Dairy Product Manufacturing,0.0,3
Defense and Space Manufacturing,13.382899628252787,1076
Design Services,1.214574898785425,247
E-Learning Providers,7.643312101910828,157
Education Administration Programs,0.3138075313807531,956
Entertainment Providers,4.992435703479576,661
Environmental Services,0.4352557127312296,919
Events Services,2.7777777777777777,108
Executive Offices,2.631578947368421,38
Facilities Services,0.21739130434782608,460
Farming,1.694915254237288,59
Financial Services,5.178993276394694,5503
Fisheries,0.0,19
Food and Beverage Manufacturing,0.5830903790087464,1029
Food and Beverage Services,0.44510385756676557,1348
Freight and Package Transportation,0.0,179
Fundraising,0.0,35
Furniture and Home Furnishings Manufacturing,0.641025641025641,156
Gambling Facilities and Casinos,1.550387596899225,129
"Glass, Ceramics and Concrete Manufacturing",0.0,29
Government Administration,0.8528784648187633,1407
Government Relations Services,4.25531914893617,47
Graphic Design,40.0,5
Higher Education,3.3586818757921417,1578
Hospitality,0.575013068478829,1913
Hospitals and Health Care,1.0425274934842033,15731
Human Resources Services,5.070118662351672,927
IT Services and IT Consulting,7.277464177160225,11515
Individual and Family Services,0.2590673575129534,386
Industrial Machinery Manufacturing,0.4875076173065204,1641
Information Services,5.405405405405405,222
Insurance,1.8824871648602397,1753
International Affairs,4.545454545454546,22
International Trade and Development,0.0,65
Investment Banking,0.0,27
Investment Management,0.0,20
Law Enforcement,0.0,78
Law Practice,1.9698725376593278,863
Leasing Non-residential Real Estate,0.0,8
Legal Services,0.0,43
Legislative Offices,0.0,2
Libraries,0.0,8
Machinery Manufacturing,0.8639308855291578,463
Manufacturing,1.1423550087873462,1138
Maritime Transportation,0.0,6
Market Research,4.166666666666666,48
Media Production,3.3333333333333335,90
Medical Equipment Manufacturing,3.6290322580645165,992
Medical Practices,0.0,117
Mental Health Care,2.375,800
Mining,0.0,190
Mobile Gaming Apps,0.0,1
Motor Vehicle Manufacturing,2.329075882794891,1331
"Museums, Historical Sites, and Zoos",0.0,66
Musicians,2.0408163265306123,49
Nanotechnology Research,0.0,5
Newspaper Publishing,10.526315789473683,19
Non-profit Organizations,1.4705882352941175,1904
Oil and Gas,1.6845329249617151,653
Online Audio and Video Media,6.6115702479338845,121
Outsourcing and Offshoring Consulting,8.823529411764707,136
Packaging and Containers Manufacturing,0.2364066193853428,423
Paper and Forest Product Manufacturing,0.8771929824561403,114
Performing Arts,0.0,32
Personal Care Product Manufacturing,0.7142857142857143,140
Pharmaceutical Manufacturing,4.042553191489362,940
Philanthropic Fundraising Services,0.0,5
Photography,0.0,7
Plastics Manufacturing,0.0,103
Political Organizations,0.0,20
Primary and Secondary Education,0.0,495
Printing Services,0.0,70
Professional Training and Coaching,8.791208791208792,91
Public Policy Offices,0.0,4
Public Relations and Communications Services,5.263157894736842,114
Public Safety,0.9404388714733543,319
Railroad Equipment Manufacturing,0.0,25
Real Estate,0.7498660953401178,1867
Recreational Facilities,0.0,41
Religious Institutions,0.0,53
Renewable Energy Semiconductor Manufacturing,3.3802816901408446,355
Research Services,10.16949152542373,295
Restaurants,0.631911532385466,633
Retail,0.30086108517481064,9639
Retail Apparel and Fashion,1.583710407239819,884
Retail Groceries,0.0,33
Retail Luxury Goods and Jewelry,0.0,186
Retail Office Equipment,0.7117437722419928,281
Security and Investigations,1.0204081632653061,392
Semiconductor Manufacturing,21.958456973293767,337
Shipbuilding,30.303030303030305,33
Software Development,22.904636920384952,5715
Spectator Sports,1.4814814814814816,135
Sporting Goods Manufacturing,0.0,48
Staffing and Recruiting,1.895584030498782,18886
Strategic Management Services,0.0,1
"Technology, Information and Internet",8.368200836820083,239
Telecommunications,3.3527696793002915,1372
Textile Manufacturing,0.0,150
Think Tanks,38.46153846153847,13
Tobacco Manufacturing,0.0,23
Translation and Localization,33.33333333333333,66
"Transportation, Logistics, Supply Chain and Storage",1.4084507042253522,71
Travel Arrangements,0.5952380952380952,168
Truck Transportation,0.7606787595084844,1709
Utilities,2.364394993045897,719
Venture Capital and Private Equity Principals,23.52941176470588,51
Veterinary Services,0.0,24
Warehousing and Storage,0.0,2
Wellness and Fitness Services,2.479338842975207,605
Wholesale,0.5813953488372093,516
Wholesale Building Materials,0.7042253521126761,852
Wholesale Import and Export,0.0,2
Wireless Services,0.0,1
Writing and Editing,0.0,11
